  8000.      Teff [K].         Last iteration; yyyymmdd=20080519
  2.3226E+11 Flux [erg/cm2/s]
  1.0000E+04 Surface gravity [cm/s2]
logarithmic chemical number abundances, H always 12.00, He  10.93   
  56 Number of depth points
Model structure
 k lgTauR  lgTau5      T        Pe      
  1 -5.00 -5.1390   5540.6  8.1731E-02
  2 -4.80 -4.9406   5588.5  1.1385E-01
  3 -4.60 -4.7448   5645.8  1.5881E-01
  4 -4.40 -4.5503   5705.9  2.1902E-01
  5 -4.20 -4.3561   5768.3  2.9934E-01
  6 -4.00 -4.1618   5832.2  4.0586E-01
  7 -3.80 -3.9670   5897.1  5.4617E-01
  8 -3.60 -3.7716   5962.2  7.2949E-01
  9 -3.40 -3.5755   6027.0  9.6746E-01
 10 -3.20 -3.3789   6091.6  1.2759E+00
 11 -3.00 -3.1817   6155.9  1.6736E+00
 12 -2.90 -3.0829   6187.7  1.9129E+00
 13 -2.80 -2.9839   6219.6  2.1849E+00
 14 -2.70 -2.8849   6251.3  2.4923E+00
 15 -2.60 -2.7858   6283.4  2.8432E+00
 16 -2.50 -2.6865   6315.1  3.2385E+00
 17 -2.40 -2.5872   6347.1  3.6891E+00
 18 -2.30 -2.4878   6379.0  4.1984E+00
 19 -2.20 -2.3883   6411.5  4.7806E+00
 20 -2.10 -2.2888   6444.1  5.4413E+00
 21 -2.00 -2.1893   6477.6  6.2008E+00
 22 -1.90 -2.0897   6512.0  7.0731E+00
 23 -1.80 -1.9901   6548.0  8.0866E+00
 24 -1.70 -1.8906   6585.9  9.2699E+00
 25 -1.60 -1.7910   6626.4  1.0667E+01
 26 -1.50 -1.6916   6669.9  1.2325E+01
 27 -1.40 -1.5923   6718.4  1.4351E+01
 28 -1.30 -1.4932   6770.3  1.6781E+01
 29 -1.20 -1.3942   6828.0  1.9776E+01
 30 -1.10 -1.2955   6892.3  2.3510E+01
 31 -1.00 -1.1971   6966.0  2.8312E+01
 32 -0.90 -1.0991   7050.1  3.4549E+01
 33 -0.80 -1.0017   7145.3  4.2702E+01
 34 -0.70 -0.9048   7255.7  5.3738E+01
 35 -0.60 -0.8087   7384.7  6.9042E+01
 36 -0.50 -0.7135   7533.3  9.0426E+01
 37 -0.40 -0.6193   7706.0  1.2109E+02
 38 -0.30 -0.5261   7905.7  1.6571E+02
 39 -0.20 -0.4339   8133.9  2.3092E+02
 40 -0.10 -0.3425   8392.8  3.2669E+02
 41  0.00 -0.2514   8686.1  4.6795E+02
 42  0.10 -0.1600   9011.9  6.7173E+02
 43  0.20 -0.0670   9394.6  9.7952E+02
 44  0.30  0.0290   9847.5  1.4381E+03
 45  0.40  0.1288  10218.2  1.8803E+03
 46  0.50  0.2326  10540.1  2.2965E+03
 47  0.60  0.3407  10845.8  2.7010E+03
 48  0.70  0.4529  11163.9  3.1109E+03
 49  0.80  0.5695  11530.0  3.5425E+03
 50  0.90  0.6921  12013.7  4.0124E+03
 51  1.00  0.8257  12835.8  4.5331E+03
 52  1.20  1.1339  14632.3  5.2511E+03
 53  1.40  1.4708  16568.5  6.5527E+03
 54  1.60  1.8095  18742.7  9.4912E+03
 55  1.80  2.1429  21229.2  1.5198E+04
 56  2.00  2.4650  24124.7  2.5352E+04
